kdrama_name,imdb_rating,imdb_users,imdb_description
Melting Me Softly,6.8,,This Is a sci-fi romantic comedy. The story tells about a man and a woman who participated in a 24-hour human freezing experiment. Due to a mysterious scheme the pair wake up 20 years later.
Memories of the Alhambra,7.8,,"After suffering a setback following a friend's betrayal Yoo Jin Woo travels to Spain on a business. There, he stays at an old hostel owned by a former classical guitarist Jung Hee Joo. The two get entangled in a mysterious incident."
Memorials,,,N/A
Memorist,7.6,,"Based on the hit webtoon of the same name, ""Memorist"" is a mystery thriller that tells the story of Dong Baek, a detective with supernatural powers."
Memory,7.6,107.0,Park Tae Suk is a lawyer who finds out that he has Alzheimer's and puts his life on the line to fight one last case.
Men Are Men,,,N/A
Mental Coach Jegal,7.1,42.0,"Je Gal-Gil causes an unprecedented scandal after he loses a match that he almost won due to the referee's biased call and injures his leg. Even though permanently expelled from the national team as a player, he overcomes the trauma."
Merry Mary,,,N/A
Midas,7.4,127.0,"Kim Do-hyun (Jang Hyuk), smart and ambitious lawyer, was in relationship with Lee Jung-yeon (Lee Min-jung). The peaceful relationship soon ran into problem when Do-hyun was lured into the world of hedge fund and money greed."
Military Prosecutor Doberman,,,N/A
Mimi,,,N/A
Mina,,,N/A
Mine,7.7,,"Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy."
Miraculous Brothers,,,N/A
Misaeng: Incomplete Life,,,N/A
Miss Ajumma,,,N/A
Miss Korea,7.1,127.0,"Kim Hyung Joon, owner of a small cosmetics company and riddled with debts, decides to sponsor a contestant for 'Miss Korea' hoping that will help promote their products, and so he turns to Oh Ji Young the girl he broke up 10 years before."
Miss Lee,,,N/A
Miss Mamma Mia,,,N/A
Miss Mermaid,,,N/A
Miss Monte-Cristo,,,N/A
Miss Panda and Mr. Hedgehog,,,N/A
Miss Ripley,6.4,97.0,"Miri has had a very tough childhood and youth in Japan until she returns to South Korea and learns to lie, manipulate and use her looks to get ahead. 2 well-positioned hoteliers are willing victims."
Missing 9,9.0,434.0,"People from Legend Entertainment fly on a private plane to a concert. The 9 people consists of entertainers and staff members. The plane then becomes involved in a mysterious crash. The 9 people survive, but are stranded on a deserted island. 4 months later, Ra Bong-Hee returns to South Korea as the only survivor & witness from the plane crash."
Missing You,7.5,900.0,"Two middle schoolers, Soo-yeon and Jung-woo, become friends and grow close. However, an unforeseen tragedy strikes, separating them from each other. 14 years later, they are reunited as adults, but the past still lingers on their minds."
Missing: The Other Side,7.9,978.0,"A village holds spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs."
Mistress,8.3,98.0,"Drama is about the scandalous lives of a group of four girlfriends - each on her own path to self-discovery as they brave the turbulent journey together. After Jan Se Yeon's husband died in an accident, she has lived with her daughter. She begins to receive phone calls and mysterious things take place around her. The drama series will revolve around 4 women including Jan Se Yeo, Kim Eun Soo, Han Jung Won, and Do Hwa Young."
Misty,7.9,822.0,"This drama is a Crime Suspense centering around a headstrong anchorwoman who becomes the suspect in a murder case. Her estranged husband, who's a lawyer, decides to defend her and hence starts their journey to fall back in love."
Model,7.3,46.0,"Song Kyung-rin is a fashion designer, but after Jo Won Joon refuses to model for her, she has a taste of being a model and decides to switch from designing to modeling. Lee Jung, just returning to Korea from America, is interested in modeling. Through fate, Lee Jung helps out Kyung-rin and they fall in love. But behind Lee Jung's return to Korea is a big, dark secret and a revenge plot.—DramaWiki"
Modern Farmer,7.3,281.0,"In search of inspiration, rock band ""Excellent Souls"" - Lee Min Ki (Lee Hong Ki), Kang Hyeok (Park Min Woo), Yoo Han Cheol (Lee Si Un) - goes on hiatus deep in the countryside. To their surprise, the village elder is none other than Kang Yoon Hee (Honey Lee), a zippy woman who's not only the town's first female leader, but also the youngest. She also just so happens to be bandleader Min Ki's first love. Amidst a rural backdrop, these scrappy rockers take stock of what stirs their passions - both musical and romantic."
Mom Has an Affair,,,N/A
Mom's Dead Upset,,,N/A
Money Flower,7.6,349.0,"""Money Flower"" tells the story of people who are driven by greed. Kang Pil-Joo (Jang Hyuk) grew up at an orphanage, but he now works as a managing director of a legal team at a corporation. He is acknowledged for his intelligence and his exemplary job performance. Some of those that work around him are jealous of him. Na Mo-Hyun (Park Se-Young) is an environmental activist and a science teacher at a middle school. She is a good listener and laughs a lot. She dreams of a love driven by fate.—mearhtt"
Money Game,8.0,70.0,"The Korean government owns a large stake in Jungin Bank. When the bank faces insolvency, the members of the Financial Services Commission struggle to stave off a repeat of the 1997 Korean financial crisis."
Money Heist: Korea – Joint Economic Area,,,N/A
Monstar,6.8,263.0,"Seol-Chan, one of the biggest idol stars, comes to an ordinary high school only to become a partner with Se-yi, a sheep farm girl all the way from New-Zealand."
Monster,7.8,85.0,"The story of a man who fights against greed, and experiences every hardship and adversity known to man in order to make something of himself and find love."
Monstrous,,,N/A
Monthly Magazine Home,7.1,424.0,A home-searching romance story about a man who buys houses and a woman who lives in one. It follows the diverse stories of the editors of a home magazine.
Moon Embracing the Sun,,,N/A
Moon Lovers: Scarlet Heart Ryeo,8.6,,"Ha-jin travels 1000 years back in time and lands in the era of Goryeo Dynasty as a young girl named Hae-soo. She, now trapped in another person's body, becomes involved in a power struggle against various vicious contenders to the throne."
Moonshine,,,N/A
Moorim School: Saga of the Brave,,,N/A
More Than a Maid,,,N/A
More Than Friends,6.6,598.0,"A romantic drama about a man and a woman who, due to a misunderstanding, have held a crush on each other for over 10 years."
Mother,,,N/A
Mother of Mine,7.8,82.0,"The story of a mother and 3 daughters living in modern-day Korean society. The drama conveys a message about the low fertility rate, divorce rate, and the problems of the younger generation who are avoiding marriage."
Mother's Garden,7.0,9.0,"An equine veterinarian, Yoon-joo, and an aspiring chef, Ki-joon, are in love. With Yoon-joo's support, Ki-joon sets out to choose his own career path while respecting his wealthy family's wishes."
Mouse,8.7,,"Jung Ba-Reum is a rookie police officer. He is an honest person and tries to attain justice. After Ba-Reum faces a psychopath murderer, who places the entire nation in fear, his life is totally changed."
Move to Heaven,8.5,,"Working as trauma cleaners, both Gu-ru and Sang-gu uncover various stories of the deceased while experiencing different emotions and sentiments toward life, death and family."
Moving,8.6,,The quiet lives of three high school students with genetic superhuman abilities turn upside down when a mysterious organization starts to hunt them down one by one.
Mr. Back,,,N/A
Mr. Duke,,,N/A
Mr. Queen,8.6,,"When a modern day chef gets trapped in the body of a queen in the Joseon era, chaos ensues."
Mr. Sunshine,8.7,,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.
Mrs. Cop,7.7,114.0,"Crime drama about female detective squad chief, who also raises her daughter. The joys and sorrows of being a working mom in Korea are explored through the life of passionate middle-aged female cop."
Mrs. Durian,,,N/A
Ms. Hammurabi,7.4,695.0,The series tells the story of the life of judges and the various disputes that they have to settle.
Ms. Kim's Million Dollar Quest,,,N/A
"Ms. Ma, Nemesis",7.2,59.0,"A woman falsely accused of killing her daughter escapes from prison, tries to clear her name, and solves a series of mysteries along the way; a twist on Agatha Christie's Miss Marple stories."
Ms. Perfect,6.7,46.0,"Ko So Yung (a beloved 90's teen idol making her comeback after ten years) and Yoon Sang Hyun (Shopping King Louis, Ms. Temper and Nam Jung Gi) star in a comedy mystery that proves that no matter how hard we try to be perfect, life has a a way of throwing chaos our way. When a dutiful wife and loving mother realizes that she has lost a sense of who she is, the fates provide a murderously good way for her to find herself. Shim Jae Bok (Ko So Yung) is a legal assistant and mother of two. She can't stand it when things are unfair. She also hates the people who look down on her because she is a working ahjumma (older woman). Plus, she's got a temper that would make sailors blush. Still, Shim Jae Bok puts up with all the condescension and false flattery around her. That is because Shim Jae Bok's life is not about her; it's about her family, and the future of her kids depends on her bowing her head and staying respectful. This means that Shim Jae Bok even puts up with the the fact that her husband Goo Jung Hee (Yoon Sang Hyun) is having an affair with the much younger Jung Na Mi (Im Se Mi from Shopping King Louis). Plus, her boss from hell Kang Bong Goo (Sung Joon from Hyde, Jekyll and I), tells her she is out of a job. Her life is in a tailspin, and then something miraculous happens. Shim Jae Bok receives an offer for an apartment from Lee Eun Hee (Jo Yeo Jung from Divorce Lawyers in Love), an offer that is way too good to be true. Suddenly, the miracle becomes a disaster. The eccentric ahjumma finds herself in the middle of a murder mystery. All the chaos in her life comes full circle, and Shim Jae Bok realizes that someone is destroying her life, piece by piece. Now, our ahjumma has to regain her true self--the kind who fights injustice and doesn't tolerate nonsense--in order to save what she has left. But when you have spent years pretending to be perfect, is it even possible to be yourself? Also known as Perfect Wife, Ms. Perfect is directed by Hong Seuk Ku (Golden"
Murder DIEary,,,N/A
My Absolute Boyfriend,6.9,368.0,"Dan Dan, is a woman who works as a special effects make-up artist but has a very cold-heart. She then, unexpectedly, falls in love with Yeong Goo, a humanoid robot programmed to be a perfect boyfriend. Yeong Goo begins to develop human emotions, and they end up in a love triangle with her famous actor childhood friend, Ma Wang Joon, who also falls for her.—MyDramaList"
My Beautiful Bride,7.4,96.0,"One man does whatever it takes to find his missing fiancée, even if he has to get his hands dirty and fight his way through the underworld in the process."
My Beloved Sister,6.2,8.0,Maturity comes to some with very difficult life lessons. Yoon Seung Joo (Song Yoon Ah) grew up in the lap of luxury and has never wanted for anything while growing up.
My Bittersweet Life,,,N/A
My Catman,,,N/A
"My Contracted Husband, Mr. Oh",,,N/A
My Country: The New Age,8.1,,"Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country."""
My Dangerous Wife,8.1,101.0,"A story about a couple who starts a war at home with extremely dangerous choices, and about finding the meaning of life as a husband and wife in Korean society."
My Daughter the Flower,,,N/A
"My Daughter, Geum Sa-wol",7.7,38.0,"Geum Sa Wol is a genius architect who grew up in an orphanage. Despite the hardships she faced while growing up, she always stayed positive and never despaired no matter how tough life became. Her biological mother Deuk-ye had her through an extramarital affair with an ex-boyfriend and plots revenge on her husband and his mother. After a considerable amount of time has passed, Sa Wol meets her mother but both of them do not recognize each other. Instead, they get to know each other as mother-in-law and daughter-in-law.—MBC"
My Dear Cat,6.2,14.0,"A reporter and a law school dropout strike up a fateful friendship while coincidentally searching for the same stray cat. As they become better acquainted, family secrets begin to unfold."
My Dearest,8.9,447.0,A love-story between a noble woman and a mysterious man set in Joseon during the Qing invasion
My Fair Lady,7.7,6.0,
My Father Is Strange,,,N/A
My Fellow Citizens!,,,N/A
My First First Love,7.5,,The story of college students and their realization of first love as they meet new friends.
My First Love,,,N/A
My First Time,,,N/A
My Golden Life,7.4,454.0,"A woman has a chance for success, but falls into a bottomless pit of her life. She looks for ways to find happiness through her circumstance."
My Healing Love,8.2,15.0,"A women is married with a younger man. Her life is hard, she's always had to take over her husband's problems. But suddenly she starts to meet a generous and success man who is always saving her from some troubles. He's divorced and has a little girl. One day, he realizes that they had already known each other long time ago but she doesn't remember anything—selene_bs"
My Heart Twinkle Twinkle,6.1,25.0,"This heartwarming South-Korean Melodrama (2015) depicts the interconnected lives and shared family struggles of three sisters (starring Jang Shin-young, Bae Soo-bin, Lee Tae-im, and Nam Bo-ra). The story revolves around the father's fried-chicken shop being driven out of business by the large, regional corporate competition, owned by a family that once had close ties."
My Holo Love,,,N/A
My Horrible Boss,,,N/A
My Husband Got a Family,,,N/A
My Husband's Woman,,,N/A
My Kids Give Me a Headache,,,N/A
"My Lawyer, Mr. Jo",,,N/A
"My Lawyer, Mr. Jo 2: Crime and Punishment",2.0,,N/A
My Liberation Notes,,,N/A
My Little Baby,6.3,123.0,"Jung Han, a top murder squad detective in the special investigation bureau of violent crimes becomes the sole guardian of his 6-month-old niece, Eun Ae when his sister and her husband pass away unexpectedly."
My Love By My Side,7.2,8.0,
My Love from the Star,,,N/A
My Love Patzzi,,,N/A
My Love Toram,,,N/A
My Lovely Girl,6.3,364.0,"Rain makes his comeback in this drama as an entertainment-company president who lost his girlfriend in an accident and finds himself falling in love with her younger sister, an aspiring songwriter."
My Lovely Liar,7.6,998.0,Tells the story of a woman who cannot trust people because of her ability to hear lies and a murder suspect who no one believes in.
My Lovely Sam Soon,,,N/A
"My Lover, Madame Butterfly",,,N/A
My Mister,9.1,,"A man in his 40s withstands the weight of life. A woman in her 20s goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other."
My Mother Is a Daughter-in-law,,,N/A
My Name,,,N/A
My Only Love Song,7.1,789.0,"When things don't go her way during a shooting for her new show, a top actress runs away in an old van that guides her on a time-traveling journey."
My Only One,7.1,131.0,"Life turns upside down for a bright young woman when her biological father, carrying a heavy past, appears in front of her after 28 years of absence."
My Perfect Stranger,8.1,571.0,A drama about a strange and beautiful time travel between a news anchor and an ordinary office worker trapped in 1987.
My Precious You,,,N/A
My Roommate Is a Gumiho,7.7,,"The thrilling love story of Shin Woo Yeo, a 999-years-old gumiho who wants to become human, and Lee Dam, who accidentally swallowed his fox bead."
My Rosy Life,,,N/A
My Runway,6.3,334.0,"Han Seo Yeon, a bright, healthy, and outgoing high school student who dreams of becoming a model. Her journey to achieving her dream will be portrayed in 'My Runway'."
My Sassy Girl,,,N/A
My Secret Hotel,6.5,221.0,"A divorced couple meet again as the manager of a wedding department of a hotel and as a groom. A murder case takes place. Sang-Hyo (Yoo In-Na) is the manager for the wedding department of a hotel. She is a perfectionist with a bright personality. once She divorced 7 years ago. She meets her ex-husband Hae-Young (Jin Lee-Han) as a client at the hotel. Sang-Hyo and Hae-Young were in love and married, but they divorced less than 100 days later. Hae-Young is a famous architect. Sung-Gyeom (Namgung Min) is the management director of the hotel and Sang-Hyo's boss. The murder case that brings about a crisis at the hotel is related with his personal history. He is in a love triangle with Sang-Hyo and Eun-Joo (Lee Young-Eun). Eun-Joo works as public relations manager for the hotel. She is ambitious with her work career.—Ivan Syah"
My Secret Romance,7.1,,Jin-wook and Yoo-mi meet at a Gangwon-do resort and get caught up in a series of misunderstandings and accidents.
My Secret Terrius,7.6,,"Go Ae Rin suddenly loses her husband. A mysterious man, Kim Bon, lives next door. Kim Bon is a legendary NIS agent. He helps Ae Rin uncover a conspiracy, which husband became involved with."
My Spring Days,7.3,71.0,"Is cellular (body) memory possible? Can a transplant recipient take on mannerisms and memories of the donor through the act of tissue transfer? Lee Bom-yi (Sooyoung) is a heart transplant recipient. She is engaged to marry the handsome, successful doctor Kang Dong-Wook (Lee Joon-Hyuk). A chance encounter with Kang Dong-ha (Kam Woo-Sung) makes Bom-yi feel like something is missing. And why does she find so much happiness in spending time with Dong-ha's children?—leahcubed"
My Strange Hero,7.3,,"When Kang Bok Soo was a high school student, he was falsely accused of committing violence and kicked out of school. This was caused by his first love Son Soo-Jeong and a male student Oh Se Ho. Kang Bok Soo is a now an adult, but his life has not gone smoothly. To get revenge on Son Soo-Jeong and Oh Se Ho, he returns to the same high school as a student. The environment at the school has changed and Kang Bok Soo gets involved in unexpected cases."
My Too Perfect Sons,,,N/A
My Unfamiliar Family,7.5,223.0,This drama tells the story of a family that is slowly starting to drift apart.
My Unfortunate Boyfriend,6.0,79.0,"Yoo Ji Na (Yang Jin Sung) is a budding career woman who has absolutely no issues with lying to get what she wants. But when she falls for the innocent and naive Yoon Tae Woon (No Min Woo), who is truthful to a fault, their budding romance becomes a liability for Ji Na's cutthroat corporate job. Can these unlikely lovers stay true to themselves and manage to stay together?"
Mysterious Personal Shopper,7.6,20.0,"Centered around the fashion tycoon President Eun's family, the mystery hidden inside the mansion is unveiled in an unpredictable way through the relationships and feuds between various people."
Mystic Pop-up Bar,8.0,,A young man with an unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.
Naeil's Cantabile,,,N/A
Naked Fireman,,,N/A
Narco-Saints,,,N/A
Navillera,8.7,,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.
Never Twice,8.0,94.0,"The series follows the story of the long-term guests at Paradise Inn, located in the heart of Seoul. From the first room to the sixth room, all the guests are different in age, gender, and even where they grew up."
Nevertheless,7.1,,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.
New Heart,7.9,81.0,"The pride and frustration of cardiac surgeons on the job. Lee Eun Sung graduated from a newly established medical school in the southern province and not from an elite one like the Hwang Hee University Hospital where he applied for residency with the hope of becoming a great cardiac specialist. Since he wasn't a graduate of Hwang Hee U., he was looked down upon by almost everyone at the hospital. Nam Hye Suk graduated with top marks and was regarded as a star student. She was an absolute fundamentalist and proud of herself. Dr. Choi Kang Gook became the new head of the Department of Thoracic and Cardiovascular Surgery after being in exile for 5 years for getting into trouble with his former superior. He was a genius but he was also a stubborn surgeon who does not care for hospital politics. It ended up only LES and NHS were the only doctors who applied for residency and they were accepted with great reluctance after being rejected outright by Dr. CKG. Lee Dong Gwon, a famous actor, was admitted to the Hospital for arrhythmia surgery. He knew NHS from elementary school and was infatuated with her. Between him and LES, who would NHS choose?—DramaWiki"
New Tales of Gisaeng,,,N/A
Nice Witch,,,N/A
Night Light,6.8,340.0,"The drama is about ambitious people clamoring to claim more power and success for themselves: an ambitious woman, a man born in a wealthy family and another woman who wants to escape from her poor background."
Nine,,,N/A
No Matter What,,,N/A
No Secrets,,,N/A
"No, Thank You",,,N/A
"Noble, My Love",,,N/A
Nobody Knows,7.9,397.0,"Still haunted by the death of her friend who was murdered 19 years ago by the infamous Stigmata serial killer, detective Cha Young Jin is determined to catch the culprit."
Nokdu Flower,7.7,173.0,Set during the Donghak Peasant Revolution which took place from 1894--1895. Two half-brothers fight on opposite sides of this rebellion.
Nonstop,8.3,64.0,"Each Nonstop season shows the hilarious everyday life adventures of a group of college students and their friends and family. Actors in this program made many stories to be expected in campus. Unlike traditional sitcoms, each season features a brand new cast.—Anonymous"
Not Others,,,N/A
"Now, We Are Breaking Up",6.4,,The series is story of love and break ups in the romantic world. It illustrates the present scenario in the context of fashion industry
Numbers,7.1,249.0,"The story of Jang Ho-woo, a high school graduate accountant, realizing justice against the absurdity of a giant accounting firm."
Oasis,7.2,191.0,"A period drama set in a turbulent Republic of Korea from the 1980s to the 1990s. It contains the fierce life, revenge, and conflict of young people who had to live after power and wealth regardless of means or means in wrong social values."
OB & GY,,,N/A
Oh Feel Young,,,N/A
Oh My Baby,7.0,341.0,"Jang Ha Ri is a 39-year-old single woman and a workaholic who has not been in a relationship for over 10 years but wants to have a baby of her own. Just when she has given up on love and marriage, three men appear in front of her."
Oh My Ghost,8.0,,"Timid Na Bong Sun gets possessed by the ghost of a confident young woman who seeks to solve her one unfinished business by hooking up with Bong Sun's boss, famous chef Kang Sun Woo."
Oh My Ladylord,5.9,282.0,"A romantic comedy about a thriller dramas screenwriter and an actress that specializes in romantic comedy. While the writer chooses not to date, the actress cannot seem to date."
Oh My Venus,7.7,,A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his childhood.
Oh! My Lady,6.9,237.0,"Series Outline: Sung Min Woo is the top male star in Korea due to his good looks and singing talent. Ambitious, he moved into TV dramas which he helps with his star power and hinders with his terrible acting. He also has an exploitative, unethical manager. Yoon Gae Hwa is a housewife divorced from a rich husband who needs to earn enough money to keep her daughter in her custody while her ex-husband's new wife doesn't want the daughter of a previous wife around. Gae Hwa's sole prior work experience is 6 months as a reporter for a weekly scandal rag. Her first jobs shown in the series are unsuccessful but include 1 day as housekeeper for Sung Min Woo where a babysitting emergency forces her to leave early, infuriating Sung Min Woo. Shortly afterwards, she finds another job at a musical production company, learns a secret about Sung Min Woo, and convinces him to work on the agency's musical, and becomes Min Woo's handler for that agency as it prepares to put on a musical starring Min Woo (if he ever improves as an actor). Handling Min Woo is no easy task due to their mutual antagonism, spurred by Min Woo's immaturity. Min Woo grows up as he faces the challenges of caring for his unexpected 5-year-old daughter Ye Eun, the result of an affair several years earlier, and by Gae Hwa's example in caring for the otherwise unprotected Ye Eun. Min Woo gains maturity very quickly as he learns to accept and love his daughter and becomes something unexpected - a good actor. The romance also ends satisfyingly - but I'm not telling that part of the ending.—dgdg"
"Oh, the Mysterious",6.8,93.0,"Kim Jong Sam was falsely accused of a crime and imprisoned. Because of that he has spent ten years on death row. Somehow he escapes out of prison and becomes a fake cop, (Oh Il Seung). Then sets out to find a hidden amount of 100 billion won (about 100 million dollars) on behalf of criminals who will garanty him with a new identity that belongs to a death cop. He has three days to find the cash and begin his new life. While doing that, new adventures show up.—Haylie Montie"
Ohlala Couple,,,N/A
Ojakgyo Family,,,N/A
On Air,7.7,33.0,"This drama is about behind the scene in TV drama productions. It also portrays how the whole production team and performers complete a project on a tight schedule as well as how actors, actresses, and entertainment agencies handle rumors surrounding them. Jang Ki Joon used to be a top manager in the business but he went bankrupt as he couldn't compete with other powerful agencies. He was 'rescued' by Oh Seung Ah, a top star, who agreed to join his agency after breaking off with her former one. Lee Kyung Min was a drama PD who got his first chance at being a director. Seo Young Eun is a much sought after scriptwriter, who was divorced and has a young son."
On the Verge of Insanity,7.6,89.0,It follows the story of middle-aged office workers struggling to survive in a turbulent workplace.
On the Way to the Airport,7.3,161.0,
Once Again,8.2,490.0,"""Once Again"" is a story about love and family based on the Song Family, who never have a peaceful day."
Once Upon a Small Town,7.0,,"A city veterinarian moves to the countryside where he meets a policewoman, a town insider with a friendly secret."
One Dollar Lawyer,7.9,,"A story of a lawyer with unusual style who only charges 1,000 won (roughly 1 dollar) for his service to fight for clients that are up against the richest and most privileged."
One Fine Day,,,N/A
One More Happy Ending,7.3,374.0,Former members of a girl band pursue romance with various suitors while coming to terms with their waning celebrity statuses and ever-evolving relationships with one another.
One More Time,,,N/A
One Ordinary Day,8.2,,"A remake of the BBC drama ""Criminal Justice"" that delves into the criminal justice system through the story of two men surrounding a woman's murder."
One Spring Night,7.9,,"A couple in their 30s has dated for many years. When they begin to discuss marriage, they begin to look upon their relationship in a different light."
One Sunny Day,7.5,96.0,Follows the story of a man who goes to Jeju Island and meets a new person.
One the Woman,7.1,600.0,"Tells the story of a tough and rogue female prosecutor, who one day loses all of her memories and changes places with a conservative housewife who looks just like her."
One Warm Word,7.1,68.0,"Na Eun Jin (Han Hye Jin) is a hardworking, positive, and bright woman who encounters feeling of disappointment because of her cheating husband (Lee Sang Woo) and other events, which makes her find the new side of herself. Meanwhile, Yoo Jae Hak (Ji Jin Hee) is a successful CEO, respectable father of two sons, and husband to his devoted wife (Kim Ji Soo). He thought he was happy in his life until he finds himself attracted to Eun Jin and then he begins to reflect on his life and conflicts between responsibility to family and his feelings for Eun Jin.—DramaWiki"
One Well-Raised Daughter,7.2,44.0,"To insure the inheritance of their family business, parents of four girls decide to raise their youngest daughter as a boy."
Only Love,,,N/A
Only You,,,N/A
Operation Proposal,6.8,159.0,"Kang Baek Ho realizes that he is in love with his best friend, Ham Yi Seul, on the day of her wedding to another man. He travels back in time to various events of their lives hoping to change the outcome of their relationship. Will Baek Ho be able to change the course of their future?—DramaWiki"
Orange Marmalade,6.3,660.0,Jae-Min is a popular high school student. He falls in love with transfer student Ma-Ri. Ma-Ri though hides her true identity as a vampire.
Our Beloved Summer,8.2,,"A coming of age, romantic comedy revolving around ex-lovers who broke up with a promise never to meet again. But the documentary they filmed ten years ago gets the fame and they are by compulsion facing camera once more."
Our Blooming Youth,7.7,623.0,A story about a prince who receives a book about ghost stories containing all kinds of curses of life and feels that the curse is happening one by one
Our Blues,8.6,,Romance is sweet and bitter - and life riddled with ups and downs - in multiple stories about people who live and work on bustling Jeju Island.
Our Dating Sim,,,N/A
Our Gap-soon,6.6,49.0,"A couple faces many challenges in order to make a life together. Heo Gap Dol (Song Jae Rim) has failed the law exam many times after graduating from college, despite his best efforts to start his career. He has decided to try for the civil service examination, along with his long-time girlfriend, Shin Gap Soon (Kim So Eun), who has been working many odd jobs to try to support Gap Dol and land gainful employment for herself.—Chloe Diana"
Over the Rainbow,,,N/A
Pachinko,8.3,,"Based on the New York Times bestseller, this sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive."
Padam Padam,7.6,246.0,"Yang Kang Chil was imprisoned for 16 years for a murder he didn't commit. When he's released, he goes to Seoul accompanied by his guardian angel."
Pale Moon,7.4,16.0,"A thriller drama about Yoo I-hwa, a stay-at-home mom living her comfortable and contented life without desires, but to her husband's indifference. While working as a bank contract employee, she unexpectedly touches money from VIP clients and gradually falls into an irreversible collapse."
Pandora: Beneath the Paradise,6.3,234.0,"Hong Tae-ra leads a life envied by all, with a perfect husband and a lovely daughter. However, her life takes a turn when repressed memories resurface."
Papa,,,N/A
Partners for Justice,,,N/A
Passionate Love,7.0,26.0,"Kang Moo Yeol is a third-generation chaebol who has the both the looks and wealth, seems to have it all on the outside, but grows up with family issues and pain from the loss of his past love Han Yoo Rim. Meanwhile, Han Yoo Jung is a diligent and bright, and very independent woman who has a tomboyish and unruly personality which helped her overcome the sudden loss of her family. She is Han Yoo Rim's younger sister and will get involved with Kang Moo Yeol 10 years later. Both Kang Moo Yeol and his half brother Hong Soo Hyuk will fall in love with Han Yoo Jung. But, Moo Yeol and Yoo Jung are star-crossed lovers. Their tragic love story begins because of a tragedy due to their parents. How will they escape their dreary surroundings to succeed?"
Payback,7.3,253.0,Eun returns to Korea when he is enlisted by his nephew to wage war against corrupt powers to protect his family.
Pegasus Market,7.6,106.0,"""Cheap Cheonlima Mart"" tells the story of employees at a falling-behind store where the staff is king, rather than the customer. While the manager tries to revive the mart, they're up against the ""human bulldozer"" boss that aims to ruin the store."
Perfume,7.1,233.0,"A suicidal, overweight housewife is sent a magical perfume that makes her look like her 20 year old self, whose dream was to be a model. A phobia ridden, fashion designer hires her as his house servant."
Persona,,,N/A
Personal Taste,7.4,,A straight-laced architect falls in love with a furniture designer while pretending to be gay.
Phantom,,,N/A
Phoenix,7.9,68.0,"A delightfully twisty inversion of the Cinderella story, Phoenix is about a woman who, by choosing to marry beneath her, falls from princess-status to peasant-status, and then rises again like the proverbial firebird. Lee Ji Eun defies her parents' wishes to marry poor student Jang Sae Hoon, but unable to handle the burdens of poverty, she later succumbs to her family's pressure and divorces him. Heartbroken, her husband leaves for the U.S., and the two don't see each other again until Sae Hoon returns to Korea as a wealthy, self-made businessman, and runs into her again, now a lowly domestic helper. Ji Eun, having experienced many humbling turns in life since he left, is struggling to keep herself and her family afloat, and finds that their roles have been reversed-but will Sae Hoon ever be able to forgive her? Can the ashes of their love turn back into a flame?"
Phoenix 2020,2020.0,9.0,"Belonging to the wealthiest class and as the daughter of an influential chaebol family in Korea, Ji Eun grew up with everything. When she meets Se Hoon, who comes from an underprivileged family, he treats her like no other, and she falls in love with him. Although Ji Eun's family opposes their relationship, they get married. However, due to reoccurring conflicts, Ji Eun and Se Hoon become exhausted and end their marriage. Ten years later, fate ironically reverses their lives. Se Hoon, who is now a successful man, buys Ji Eun's house out of revenge. But when he stands in front of her as Willian Jang, he only wants to help her. Nonetheless, there is Mi Ran, with whom he is in a serious relationship with, and next to Ji Eun is her new love, Jung Min, who is devoted to her. This drama is the 2020 version of the intertwined fates of four people's love.—KOCOWA"
Piano,,,N/A
Pied Piper,7.3,68.0,
